dog_id	vendor_name	date_expense	amount_expense	description
184	Pet Kingdom	2020-03-27	10.40	KONG AirDog Tennis Ball Squeaker Dog Toy
185	Dr Hudson	2020-04-23	166.54	physical
185	Dr Jones	2020-05-18	208.53	
185	Pet Group Inc	2020-04-09	20.14	Chuckit! Indoor Ball Dog Toy
187	Dr Arnold	2020-04-15	68.54	
187	Dr Rozenman	2020-05-06	114.41	vaccination
188	Canine Learning Centers	2020-05-05	57.37	Rachael Ray Nutrish Natural Chicken & Veggies Recipe Dry Dog Food
188	Dr Brown	2020-04-16	178.98	fractures
188	Dr Wilson	2020-04-22	147.02	surgery
188	Dr Wilson	2020-05-25	179.66	bleeding
188	Petco	2020-05-15	6.61	Purina Pro Plan Focus Adult Sensitive Skin & Stomach Salmon & Rice Formula Dry Dog Food
189	Canine Learning Centers	2020-04-24	21.49	KONG Easy Treat Dog Treat - Bacon & Cheese Food
190	Dr Brown	2020-04-12	290.32	medicine
190	Dr Wilson	2020-04-27	279.14	medicine
190	Pet Kingdom	2020-05-17	11.82	
193	Arrieros Pet Shop	2020-04-29	3.32	
193	Dr Wilson	2020-04-22	169.85	bleeding
193	Pawerica Pet Store	2020-05-11	1.88	Hill's Science Diet Adult Sensitive Stomach & Skin Chicken Recipe Dry Dog Food
193	Pet Kingdom	2020-04-19	7.24	JW Pet Hol-ee Roller Dog Toy
196	Dr Towers	2020-04-23	153.49	surgery
199	Dr Wilson	2020-05-14	181.53	bleeding
200	TagWorks	2020-05-11	49.34	SmartBones SmartSticks Peanut Butter Chews Dog Treats Food
202	Decker's Dog and Cat	2020-05-15	11.16	JW Pet Hol-ee Roller Dog Toy
204	Dr Wilson	2020-05-25	175.96	medical procedure
205	Dr Jones	2020-05-29	211.12	bleeding
208	Decker's Dog and Cat	2020-06-01	1.36	KONG AirDog Tennis Ball Squeaker Dog Toy
